field,title,imagelink
1,2025 ISMAR in Daejeon,16.jpg
1,2025 MICCAI in Daejeon,15.jpg
1,2025 Invitation Talks — USYD & SJTU,14.png
1,2024 Siggraph Asia Conference in Japan,13.jpg
1,2024 Autumn Workshop in SokCho,12.jpg
1,2024 Korea Computer Graphics Society,11.png
1,2024 Summer Graduation,10.png
1,2023 winter Graduation,09.jpg
1,2023 CGI in Shanghai,08.jpg
1,2023 Summer workshop in Yangyang,07.jpg
1,2023 Graduation,06.jpg
1,2022 Siggraph Asia in Deagu,05.jpg
1,2022 Graduation,04.jpg
1,2021 winter workshop in Jecheon,03.PNG
1,2021 Semina in Song-do,02.jpg
1,2021 Summer workshop in Yangyang,01.jpg
